,Q,A,labeling
3824, 백신패스 도입 되면 좋겠다, 나 백신 아직 안맞았는데?,0
3825, 너 화이자 맞은거 아니야?, 아직 1차만 맞았어,0
3826, 나도 1차만 맞아서 아직 패스는 아니야, 그래도 곧 맞으니까,0
3827, 그럼 자영업자들 좀 괜찮으려나, 아무래도 그렇지 않을까,0
3828, 위드코로나가 필요한 시기야, 나도 엄청 동감해,0
3829, 요즘 메타버스가 이슈네, 가상현실 말하는 거지?,0
3830, 응 가상세계를 만들어서 이용자가 이용할 수 있는 거야, 요즘 코로나 때문에 더 이슈인 거 같아,0
3831, 응 비대면 서비스 확대돼서 그래, 나도 최근 온라인 박람회 갔다 왔어,0
3832, 어때? 난 안 가봤어, 게임 같은 느낌이 커,0
3833, 아 캐릭터 움직이고 그런 거야?, 맞아 내가 캐릭터가 돼서 박람회 돌아다녀,0
3834, 너 제페토 알아?, 제페토? 어디서 들어본 것 같은데,0
3835, 요즘 메타버스 대세잖아!, 메타버스가 뭐야? 교통수단이야?,0
3836, 오마이갓! 메타버스를 모르다니, 그게 뭔지 알려줘봐,0
3837, 음 쉽게 말하면 가상세계야, 아 그런 쉬운말을 두고 왜...,0
3838, 아무튼 메타버스로 요즘은 마케팅도 하고 다 해, 코로나 때문에 가상세계가 더 가까워 졌구나,0
3839, 누리호 발사한 거 봤어?, 안그래도 아까 출근하면서 봤어,0
3840, 우리나라는 아직 기술이 안되나보네, 그러니까 생각보다 우주기술이 약하구나,0
3841, 나 항공관련주 샀는데, 헐 뉴스 보니까 떨어졌다던데,0
3842, 어 한 6프로 떨어진 듯 망했어, 야 다시 또 발사할 때까지 존버해야겠다,0
3843, 몇 년 뒤에 할지도 모르는데, 그래도 기다리면 시기가 오겠지,0
3844, 나 요즘 눈이 떨려서 영양제 먹을려고 하는데 추천해줘ㅠㅠ, 그거 눈 떨리는거 마그네슘 부족해서야!,0
3845, 그럼 마그네슘 들어간 영양제 먹어야돼?, 응 마그네슘 성분 들어간거 찾고 비타민c먹어,0
3846, 알았어 말해줘서 고마워 키키, 아니야 이제 우리도 영양제 챙겨먹어야지,0
3847, 넌 꾸준히 챙겨먹어?, 아니 나 잘 안챙겨먹게돼ㅠㅠ,0
3848, 맞아 영양제 챙겨먹는것도 일이야ㅠ, 그렇긴해 그래도 꾸준히 챙겨먹도록 노력하자,0
3849, 이번에 007 영화 나왔대, 나 보고 싶었는데 아직 못봤어ㅠ,0
3850, 아 그래? 왜 못봤어?, 영화관에서 나왔는데 코로나 때문에 영화관을 못갔어ㅠ,0
3851, 나는 그래서 007 내일 가서 볼려고!, 너는 영화 예매했어?,0
3852, 아직 안했는데 요즘은 자리 많아서 보기 전에 해도 돼, 그래? 그래서 낼 몇시꺼 보게?,0
3853, 아마 3시꺼 볼려고 왜?, 아니 그냥 키키 보고서 후기 알려줘,0
3854, 오늘은 팩하고 자야겠다, 일일 일팩 하는거야?,0
3855, 아니 그거는 도전했는데 실패했어ㅠㅠ, 해봤는데실패했어? 왜?ㅠㅠ,0
3856, 그거 은근히 하기 어려워ㅠㅠ, 맞아 나도 팩 해야지 생각하고 맨날 미루게 되더라,0
3857, 오늘은 그럼 같이 팩 붙히고 자자, 좋은 생각이야 그럼 나도 이따 세수하고 팩 할게,0
3858, 응 그럼 하고서 인증사진 보내줘, 응 알겠어 이따가 보내줄게!,0
3859, 에니메이션 좋아해?, 응 좋아해. 보고있으면 순수해 지는 기분이 들더라구,0
3860, 나도 그렇던데 포뇨라고 봤어?, 그거봤지 포뇨 너무 귀엽잖아,0
3861, 그거 본사람 많이 없던데 봤구나, 나 그작가 좋아해서 거의 다봤어,0
3862, 빨리보고 싶어서 영화관에서봤잖아, 포뇨 하는거 너무 귀여웠지,0
3863, 마지막에 좀 슬펐어, 나도 사람될 줄 알았는데 말이야,0
3864, 요즘 코로나로 영화관에 안간지 오래된 것 같아., 나도 안간지 1년정도 된 것 같아.,0
3865, 그러면 넌 영화도 많이 못봤겠다., 그래도 집에서 많이 챙겨 봐서 꽤 봤어.,0
3866, 집에서 보게 되면 영화관에서 보는 거보다 별로지 않아?, 그렇게 생각할 수도 있는데 나는 집에서 보는걸 좋아해서 괜찮았어.,0
3867, 그렇구나. 그럼 영화관에서보다 집에서 보는 걸 더 좋아하겠다., 원래는 아니였는데 점점 그렇게 된 것 같아.,0
3868, 나중에 집에서 같이 재밌는 영화 한 편 보자., 그래. 내가 재밌는 영화 알아볼게.,0
3869, 어릴때 웨딩천사 피치봤어?, 응 그거 봤지 나는 데일리 좋아했어,0
3870, 데일리가 단발머리 여자애지?, 응 맞어 보이시해서 좋아했지,0
3871, 나는 릴리좋아했는데, 릴리는 진짜 여자여자했어,0
3872, 요즘 그거 콜라보해서 화장품 만들었더라, 나도 그거봤어 살뻔했잖아,0
3873, 우리시절 여자라면 그거 하나쯤 같고 싶었잖아, 맞어  팩트처럼 생긴 거랑 요술봉,0
3874, 너는 영화 시사회에 가본 적 있어?, 아니. 아직까진 없어. 넌?,0
3875, 나도 시사회는 안가봤어., 그렇구나. 그럼 무대인사는 가봤어?,0
3876, 응. 무대인사는 여러 번 가봤어., 신기했겠다.,0
3877, 응. 무대인사는 여러 번 가봤어., 나도 가보고 싶어.,0
3878, 요즘 코로나때문에 무대인사를 하는지 모르겠네., 나중에 하면 나도 데려가줘.,0
3879, 당연하지. 기회되면 영화 시사회도 꼭 가보자., 좋아. 시사회 갈 생각만 해도 설렌다.,0
3880, 요즘 넷플릭스에 재밌는 영화 많더라., 정말? 나는 요새 볼 시간이 없어서 안본지 꽤 됐어.,0
3881, 나도 많이 보진 못했는데 재밌긴 한 거 같아., 어떤 영화가 재밌었어?,0
3882, 나는 사극풍 영화 좋아해서 그거 위주로 본 거 같아., 나도 좋아하는데.,0
3883, 나는 사극풍 영화 좋아해서 그거 위주로 본 거 같아., 관상같은 영화도 좋아하겠다.,0
3884, 내가 좋아하는 배우도 나와서., 넷플릭스에 사극풍 영화 많아?,0
3885, 응 많아. 안본 거 같이 보자., 넷플릭스에 사극풍 영화 많아?,0
3886, 어제 개봉한 영화 어때?, 글쎄? 평점 보니까 엄청 재미있나본데?,0
3887, 정말? 몇점이나 되는데?, 평점이 9점이 넘어,0
3888, 정말 재밌나보다, 근데 평점은 믿을게 못돼,0
3889, 왜? 그래도 사람들이 평가한거잖아, 요즘에는 알바써서 평점을 조작한다고 하더라고,0
3890, 아 진짜? 그럼 믿을수 없겠네, 응. 그래서 평점보다는 후기가 중요해,0
3891, 영화 불법다운로드 하는 사람은 이해가 안돼., 맞아. 나도 그렇게 생각해.,0
3892, 넷플릭스나 다른 플랫폼에서 돈 내고 봐야지., 맞아. 불법 다운로드는 없어져야해.,0
3893, 이번에 귀멸의 칼날이 넷플릭스에 나왔는데 봤어?, 아니. 아직 안봤어.,0
3894, 꼭 봐바. 엄청 재밌어., 그래? 한번 꼭 봐야겠다.,0
3895, 그리고 쿠키 영상 보면 엄청 슬퍼., 그렇구나. 챙겨보고 리뷰 달아야지.,0
3896, 영화 예매 했어?, 응. 내일 3시로 예매 했어,0
3897, 좌석은 어디야?, 맨 뒤에서 2번째야,0
3898, 좋은 자리 예매했네, 근데 정가운데는 아니어서 조금 아쉬워,0
3899, 괜찮아. 가운데 아니어도 잘보여, 그럼 내일 영화관 앞에서 만나,0
3900, 좋아. 팝콘은 내가 쏠게, 응. 오징어도 같이 사,0
3901, 만화책 따로 사서 소장하고 있는거 있어?, 난 미생은 사서 책꽂이에 있어,0
3902, 나도 만화랑 드라마 다 봤어,  응 나도 몇 번 본지 모르겠어,0
3903, 그거 소장하고 있어, 드래곤볼 예전에 본 적 있는데 나랑은 안 맞았어,0
3904," 그렇군, 난 나중에 내 아이한테도 보여줄 생각이야", 그 정도로 재밌어?,0
3905," 그렇군, 난 나중에 내 아이한테도 보여줄 생각이야", 그냥 싸우는 게 다잖아,0
3906, 음 아이와 나와 공통점을 갖고 싶어서 그래, 그래 아이가 좋아하면 정말 좋겠다,0
3907, 이번 영화 재미있었지?, 응 너무 재미있었어,0
3908, 특히 쿠키 영상이 대박이었지, 맞아. 다 끝난줄 알았다가 빵터졌네,0
3909, 요즘 영화들은 왠만하면 쿠키 영상이 있더라고, 그래서 나도 자막 다 올라갈때까지 기다리는 편이야,0
3910, 나도. 근데 너무 오래 기다려야해서 별로야, 맞아. 바로 보여주면 더 좋을거 같아,0
3911, 그래도 우리가 이해해야지, 응. 고생한 사람들 알려주는 거니까,0
3912, 너는 재밌게 본 애니메이션이 있어?, 응. 나는 도쿄구울이 정말 재밌었어.,0
3913, 그건 어떤 애니메이션이야?, 사람같이 생긴 괴물이 있는데 거기서 같이 사는 내용이야.,0
3914, 그렇구나. 재밌겠다., 너는 어떤 애니메이션이 재밌었어?,0
3915, 나는 스케이트에이트가 재밌었어., 그건 어떤 애니메이션이야?,0
3916, 스케이트 보드를 타고 경쟁하는 거야., 그렇구나. 나중에 챙겨서 봐야겠다.,0
3917, 이번에 신작 많이 나왔던데, 맞아. 이번달에만 5편정도 개봉했어,0
3918, 그중에 뭐가 제일 인기있어?, 보이스가 제일 인기있어,0
3919, 아 그 변요한 나오는거?, 맞아. 다들 재밌다더라,0
3920, 그럼 그 영화 보러 갈래?, 근데 나는 개인적으로 박정민 나오는 영화 보고싶어,0
3921, 그건 무슨 영환데?, 기적이라는 영환데 엄청 감동적이래,0
3922, 요즘 고전 영화가 재밌어., 어떤 고전 영화가 재밌어?,0
3923, 나는 타짜가 재밌더라고., 그렇구나. 거기 출연진이 누구야?,0
3924, 너 타짜 안봤어 ?, 응. 나는 아직 안봤어.,0
3925, 그러면 나랑 같이 한번 볼래?, 그럴까? 내가 한번 알아볼게.,0
3926, 그래. 한번 보면 후회 안할꺼야., 기대된다. 재밌을거 같아.,0
3927, 혹시 영화제 가보셨어요?, 아니요. 전 티비로 시청만 해봤어요.,0
3928, 한 번 가보고 싶어요, 그럼 부산국제영화제 추천해요.,0
3929, 우와! 저 진짜 가보고 싶었는데., 행사장 근처만 가 봤는데 사람 정말 많았어요,0
3930, 그렇겠네요. 부산은 정말 크게 하잖아요., 그러게요. 너무 많아서 정말 당황했었어요.,0
3931, 근데 부산 진짜 가보고 싶긴 해요., 저도요. 뭐 하는지 보고 싶네요.,0
3932, 허영만 작사 알아?, 음식 만화 그리신 분 아니야?,0
3933, 맞아 그분 요즘 TV 프로그램도 하잖아, 나도 가끔 보는 편이야,0
3934, 만화책으로 봐봐, 어때? 볼 만해?,0
3935, 지역별 음식을 한눈에 볼 수 있어, 오~ 나 그런 거 좋아해,0
3936, 응 허영만 작가님의 식객이라는 책이야, 고마워 나도 읽어 볼게,0
3937, 날아라 슈퍼보드 기억해?, 치키치키 차카차카 초코초코초 맞지?,0
3938, 역시 옛날 사람 맞네 키키, 그거 모르면 안 되지,0
3939, 역시 옛날 사람 맞네 키키, 얼마나 유명한 노래인데 ㅎ,0
3940, 요즘 애들은 아마 이게 만화 모르겠지?," 아마도 모를 거야, 요즘엔 워낙 다양한 만화가 나왔잖아",0
3941, 특히 일본 애니메이션이 많이 유입됐지, 응 원피스. 나루토 등등 정말 많아,0
3942, 포켓몬스터도 일본 만화인가?, 응 그것도 일본에서 제작한거야,0
3943, 영화관 갈 때 예매는 어떻게 해요?, 저는 현장결제만 많이 해요.,0
3944, 인터넷으로는 안 하시나요?, 아무래도 잘 안하게 되더라구요,0
3945, 인터넷으로는 안 하시나요?, 앱으로 결제를 하면 할인도 많이 되요.,0
3946, 정말요? 얼마나 할인 되요?, 아. 통신사 할인도 되지만 공짜로도 봐져요.,0
3947, 우와. 전 잘 모르는데 알려주세요., 통신사 별로 1년에 6회 정도는 영화 예매 할 수 있어요.,0
3948, 1년에 6번이면 정말 많네요,"  네, 잘 이용하면 저렴하게 문화생활 즐길 수 있어요",0
3949, 너는 영화 어떤 장르 좋아해?, 음... 나는 장르는 딱히 안 가려,0
3950, 싫어하는 장르는 없어?, 너무 잔인한 영화는 못 보는 편이야,0
3951, 나도 잔인한 영화 싫어해 ㅠㅠ, 너는 좋아하는 장르 있어?,0
3952, 나는 요즘 멜로가 좋더라 하하, 요즘 같은 날씨에 멜로 영화 딱이지,0
3953, 멜로 영화 추천해줘!, 겨울에는 러브레터지 하하 !,0
3954, 인상 깊게 본 멜로 영화 추천 해 줄래?, 음... 내 머리 속에 지우개 봤어?,0
3955, 그건 봤지. 이거 마시면 사귀는 거다 나오는 영화잖아, 대사까지 알고...대단한걸?,0
3956, 그건 봤지. 이거 마시면 사귀는 거다 나오는 영화잖아, 그러면 보자 이프온리랑 비포 선라이즈는 봤어?,0
3957, 비포 선라이즈는 무슨 내용이야?," 남, 여가 헤어지고 다시 만나서 재회 하는 건데 대사가 주옥 같아",0
3958, 난 그런 장르는 안 좋아해, 그럼 헬로우 고스트 어때?,0
3959, 그거 재밌어? 안 본 거야, 코믹도 있고 감동도 있고 마지막에 눈물도 있는 영화야,0
3960, 2년 전에 개봉한 기생충 보고 어땠어?, 봉준호 감독님 작품 기생충 말하는 거지?,0
3961, 응 감독 이름도 알고 있네. 난 재밌었어, 나도 생각 안하고 봤는데 내용도 탄탄하고 좋았어,0
3962, 봉준호 감독 정말 대단하지 않아?, 맞아 미국 아카데미 시상식에서 수상을 하다니 대단해,0
3963, 우리나라 영화가 이제 인정받는 거지, 난 2번 봤는데 숨어 있는 감독의 의도한 게 보여,0
3964, 무슨 말이야? 난 잘 몰라, 화면을 나눠서 촬영하고 그런 게 있었어,0
3965, 어벤져스에 자막 오류 많은거 알지?, 응 키키 마지막에 닉 퓨리가 엄마 찾자나 키키,0
3966, 맞아 진짜 닉 퓨리 효자인줄 키키, 키키 그거 말고도 너무 많자나,0
3967, 그니까 영화에서 번역가의 중요성을 새삼 느꼈다, 진짜 중요하더라 영화 내용이 아예 바뀌니까,0
3968, 맞아 진짜 중요한 순간에 오역을 하면 큰일나지, 어벤져스는 진짜 심했어,0
3969, 그 번역가가 한 영화는 보기 싫어졌자나, 맞아. 나도 보기 싫어지더라,0
3970, 너 한국 감독 중에 누구 좋아해?, 나는 박찬욱 감독이 좋더라 키키,0
3971, 너 한국 감독 중에 누구 좋아해?, 아가씨 제일 좋아하는 작품이야,0
3972, 진짜? 나는 최동훈 감독 좋아하는데, 그 도둑들이랑 암살 만든 감독?,0
3973, 응! 진짜 영화 너무 재밌게 잘 만들지 않아?, 맞아 그 감독은 전부 흥행 했더라,0
3974, 타자도 그 감독 영화야!, 와 진짜 다 흥행했네 대박이다 키키,0
3975, 그치 키키 곧 차기작 나온다는데 기대 중이야, 그래? 같이 보러가자!,0
3976, 영화표 예매해야되는데 참, 영화 보기로 했어?,0
3977, 어 남친이랑 오랜만에 영화보기로함, 남친이 너보고 예매하래?,0
3978, 아니 내가 통신사 할인이 되거든, 오 뭐 공짜로 끊을 수 있고 그래?,0
3979, 어 1인 무료에 1인은 반값, 헐 혜택 완전 꿀인데,0
3980, 어플에서 해야되거든, 그래도 그정도 할인이면 완전 이득이지,0
3981, 하울의 움직이는 성 ost 들어 봤어?, 제목이 인생의 회전목마 인가?,0
3982, 맞아 노래 너무 좋지 않아?, 맞아 ost좋지만 영화도 너무 좋아,0
3983, 응 나 그거 스무번은 넘게 봤어!, 진짜 많이 봤다 키키 하울 너무 멋있어ㅠㅠ,0
3984, 키키 맞아 볼 때마다 감탄이지 키키, 키키 색감도 너무 예쁘고 너무 좋아,0
3985, 지브리 스튜디오 영화는 색감이 다 너무 예뻐, 그래서 매니아도 많은것 같아,0
3986, 너 여신강림 웹툰 봐?, 응! 너 서준이야? 수호야!?,0
3987, 당연히 수호지ㅠㅠ, 난 서준이야! 요즘 서준이 분량 너무 없어서 서운해ㅠㅠ,0
3988, 맞아 서준이 너무 안 나오더라 키키 서준이도 좋은데, 주경이도 너무 예뻐,0
3989, 화장 기술 진짜 좋아 키키, 그러니까 어떻게 그렇게 변하지?,0
3990, 완전 변신술이야 키키, 그래도 예쁘잖아ㅠㅠ,0
3991, 만화 중에 인사이드아웃 있잖아, 응 그거 픽사에서 만든거자나,0
3992, 거기서 나온 오프닝 영상 봤어?, 만두가족 이야기?,0
3993, 응 키키 너무 귀여워, 맞아 이번에 소울에 나온 오프닝 영상도 대박이야,0
3994, 그것도 빨리 봐야겠다!, 아직도 못 봤어?! 빨리 봐!,0
3995, 웅 하하 오늘 당장 본다!, 키키 진짜 귀엽고 영화도 재밌어,0
3996, 너 영화 장고 봤어?, 아니 그게 뭐야?,0
3997, 집에서 봤는데 진짜 너무 재밌었어 ㅠㅠ, 불법 다운로드 한건 아니지?,0
3998, 당연히 돈 주고 본 거지!, 맞아 불법 다운로드 하면 안돼,0
3999, 당연하지! 너도 장고 한번 봐봐! 추천이야!, 응 키키 나도 오랜만에 영화 결제 해야지,0
4000, 너도 영화 추천해줘!, 나는 킬링디어 추천할게!,0
4001, 너 만화 보는거 좋아해?, 뭐 애니메이션 같은거?,0
4002, 어 뭐 애니 영화라던가, 엄청 찾아보진 않는데 보긴 봐,0
4003, 나는 디즈니 진짜 좋아하거든, 아~ 나도 어릴 때 디즈니 많이 봤어,0
4004, 아침에 일요일에 만화볼라고 일어났잖아, 너도? 나도 맨날 그랬는데,0
4005, 101마리 강아지 진짜 좋아했었다, 헐 기억나 엄청 귀여웠었는데,0
4006, 어제 밤새 울었더니 눈이 부었어, 밤새 울다니 무슨일이야?,0
4007, 엄청 슬픈 영화 봤거든, 슬픈영화? 어떤거 봤는데?,0
4008, 7번방의 선물 봤어, 아 그거 엄청 슬프잖아,0
4009, 두 번째 보는건데도 너무 슬프더라, 너 감수성이 풍부하구나,0
4010, 응 나 영화보면서 잘 울어, 가끔 울고 싶은 날이 있긴하지,0
4011, 인생 영화 뭐야?, 나는 디즈니 영화들 좋아해,0
4012, 디즈니 명작 많지, 인사이드아웃이라는 영화 봤어?,0
4013, 아 본거같아! 캐릭터들 나오는거, 맞아 난 그게 인생영화야,0
4014, 소재가 되게 독특했었지, 디즈니 상상력 진짜 최고아냐?,0
4015, 그러니까 그걸 시각적으로 풀다니!, 신작들 자주 개봉해줬으면 좋겠다,0
4016, 영화보고 싶다 영화관에서, 요새 개봉한 거 볼 거 있나?,0
4017, 아니 그냥 아무거나 좋아, 그냥 영화관이 가고싶은 거지?,0
4018, 그것도 그래 안간지 오래되가지구, 맞아 영화관 분위기가 맛이 있지,0
4019, 아니 영화관 팝콘이 맛있지, 그건 당연하지,0
4020, 아니 영화관 팝콘이 맛있지, 카라멜 팝콘 먹고프다,0
4021, 요새는 관 안에서 취식도 못하잖아, 그러니까 영화는 팝콘먹으려고 보는건데,0
4022, 요새 뭐 좀 볼거 없나?, 넷플릭스 켜서 아무거나 봐,0
4023, 넷플릭스 들어가면 뭐볼지 고민만 해, 맞아 완전 공감,0
4024, 들어가서 한시간 동안 예고만 여러개 보고, 막상 볼게 없긴 해,0
4025, 너 뭐 재밌게 본거 없어?, 글쎄 끝까지 간다 재밌었는데,0
4026, 우리나라 영화인가 그거?, 어 난 거의 한국영화만 봐,0
4027, 영화 보이스 봤어?, 아 최근에 개봉한거 맞아?,0
4028, 응 얼마전에 봤는데 재밌더라, 친구도 그거 봤대,0
4029, 친구는 그 영화 어땠대?, 보이스피싱 교육 영상 이라더라,0
4030, 아 무슨 말인지 이해 간다, 영화 자체는 신선했대,0
4031, 배우들 연기가 참 좋았어, 나는 인터넷에 뜨면 봐야겠어,0
4032, 요즘은 영화보다는 그 배경음악이 더 좋지 않아, 배경음악 대박난거 많이 있잔아요,0
4033, 일명 ost라고 영화주제곡들이 엄청 유명한게  많던데, 영화는 못본지가 오래되서 음악도 기억 안나요,0
4034, 혹시 넌 OST 잘 아는 노래 있어?, 영화 클래식에 나오는거요 제목이 뭐였더라?,0
4035, 난 친구란 영화를 7번를 본거 같에 친구가 테이프도 사주고 책도 사주고 완전 감명 깊게 봤던 영화지, 친구아이가 이거요? 하와이로 가라 이런대사 기억나요,0
4036, 난 소장하는 영화가 좀 있지 무릎과 무릎사이란 영화도 소장중이야 애로의 대표적 영화라고 할 수 있지, 무릎사이요?언제 영화예요?시대가 확느껴지심,0
4037, 왓챠에 요새 볼 영화가 없네, 나는 그래서 시리즈온 봐,0
4038, 시리즈온은 어디 거야?, 시리즈온은 네이버 서비스야!,0
4039, 나도 왓챠 해지할까, 또는 넷플릭스도 추천해!,0
4040, 넷플릭스는 이미 보고 있어, 구독 서비스 너무 비싸,0
4041, 난 가끔 그래서 건당 결제로 봐, 그게 더 저렴할수도,0
4042, 기억에 남는 웹툰 있어?, 나 얼마전에 본 웹툰은 여신강림,0
4043, 여신강림? 그거 재미있어?, 재미있기도 하고 일단 그림체가 예뻐,0
4044," 종다, 어떤 스토리인데?", 여자주인공이 못생겼는데 화장으로 예뻐져서 성공하는 스토리인가봐,0
4045, 오 줄거리가 흥미로운데?, 응응 봐봐 요즘 인기있는 웹툰이야,0
4046, 응 어디에서 보는데?, 네이버웹툰! 완전 추천,0
4047, 추운날 따뜻한 방에 배깔고 만화책 보는게 최고인것 같에, 만화방 갔던 기억이 나네요 만화방은 라면 먹으러 가는곳,0
4048, 요즘 만화방은 온돌방으로 되어 있는 곳이 있더라, 요즘도 만화방이 있어요? 카페옆에서 작게 하는건 봤는데,0
4049, 만화 하면 이현세 만화가 최고 이긴 한데, 만화는 내용을 몰라요 그냥 먹으러만 가서요,0
4050, 나는 공포의 외인 구단이 제일 재밌어, 그거는 영화로 봐서 알고있어요 주인공 이름이 특이했는데,0
4051, 거기 나오는 까치와 엄지는 최고의 조합이지, 맞아요 까치 만화책으로도 있었나봐요 재미있게 본 기억이 나는 영화예요,0
4052, 나 이번에 영화 봤는데 별점이 별로 안좋더라ㅠ, 언니는 재밌게 봤어?,0
4053, 응 나는 재밌게 봤는데 별점이 별로였어ㅠㅠ, 그래? 그러면 왜 안좋지?,0
4054, 아마 개인적으로 느끼는게 달라서 그런거 아닐까?, 영화 같은건 그렇긴 하지 ㅠㅠ,0
4055, 난 재밌게 보고 왔는데 별점이 낮아서 좀 속상해ㅠ, 맞아 난 재밌는데 다른 사람이 그러면 내가 이상한가 생각 들수도 있겠다,0
4056, 그래도 난 나름 재밌어서 다른 사람한테도 추천해줄려고, 아그래? 그럼 나한테 알려줘 내가보고올게!,0
4057, 요즘 마스크팩어떤거 써?, 나는 저렴한거 사서 매일 하려고 해,0
4058, 귀찮지 않아? 매일 못하겠던데, 귀찮긴 한데 샵가서 마사지 받으면 비싸잖아,0
4059, 맞어 나도 마스크팩매일 했을때는 피부가 좋아 졌는데, 마스크팩 매일 하는것 만큼 효과 좋은거 모르겠더라,0
4060, 비싼 화장품 사는것 보다 효과좋은것 같아, 응 굳이 비싼거 안사도 돼,0
4061, 꾸준함이 피부관리 비결이네, 다들 알지만 그게 진짜 힘들더라,0
4062, 눈썹문신 다시 할까?, 응 그거 진짜 추천해,0
4063, 눈썹그리기 너무 귀찮이 않아?, 맨얼굴에 자신감을 주잖아,0
4064, 맞어 나도 그래서 다시 할까 생각중, 썬크림에 립만 발라도 화사해지니까,0
4065, 근데 할때 너무 아파서 고민되, 아픔은 잠깐이지만 편안함은 1년 간다,0
4066, 나는 리터치2번이나 해야되서 큰맘을 먹어야되, 마음 먹었을 때 후다닥하고 와,0
4067, 피부과 다녀본 적 있어?," 응, 예전에 다녀봤어.",0
4068, 어땠어? 요즘 피부때문에 고민이야., 괜찮았던 거 같아.,0
4069, 어땠어? 요즘 피부때문에 고민이야., 피부에 무슨 문제라도 있어?,0
4070, 얼마 전에 바꾼 로션이 얼굴에 잘 맞지 않나봐. 피부가 뒤집혔어., 정말 스트레스겠다.,0
4071, 얼마 전에 바꾼 로션이 얼굴에 잘 맞지 않나봐. 피부가 뒤집혔어., 내가 갔던 피부과 알려줄까?,0
4072, 그래야겠어. 효과가 있겠지?, 아무래도 진단받고 치료받으면 나아질거야.,0
4073, 그러면 좋겠다. 피부가 이러니까 너무 속상해., 걱정마. 나도 피부 뒤집어졌을 때 피부과 다니니까 좋아지더라.,0
4074, 너 퍼스널컬러 진단 받아본 적 있어?, 아니. 한 번 받아보고 싶긴 하다. 넌?,0
4075, 나도 받아보고 싶어., 너는 뭔가 겨울 쿨톤일 거 같아.,0
4076, 그래? 쿨톤은 맞는 거 같은데 확실히는 잘 모르겠어., 내 주관적인 평이라 틀릴 수도 있겠다.,0
4077, 진단 받았을 때 겨울 쿨톤이면 기분 좋겠다., 왜? 겨울 쿨톤 좋아해?,0
4078, 검은색 옷을 제일 좋아하는데 겨울 쿨톤이 제일 잘 어울리는 색이래., 그렇구나. 나도 검은색 좋아하는데 겨울 쿨톤이면 좋겠다.,0
4079, 나 요즘 외모가 마음에 안들어., 왜? 내 눈에는 이뻐 보이는데.,0
4080, 뭔가 머리도 마음에 안들고 짜증나., 머리? 지금 머리 기르는 중이라 그런가봐.,0
4081, 맞아. 긴머리 하고싶어서 기르고 있는데 힘들어., 조금만 더 참으면 괜찮을거야.,0
4082, 너는 괜찮아?, 머리가 조금 마음에 안들어서 나도 머리를 기르고 있어.,0
4083, 그렇구나. 빨리 시간이 갔으면 좋겠다., 맞아. 얼른 둘 다 마음에 들었으면 좋겠다.,0
4084, 너 머리 곱슬이야? 직모야?, 나 반곱슬인데 직모에 가까워,0
4085, 그럼 파마 자주 해?, 음 자주 하진 않고 가끔 하기는 해.,0
4086, 그럼 파마 자주 해?, 자주 하면 머릿결 상해서 안 해,0
4087, 나도 예전에 자주 했는데 요즘엔 짧은 머리가 편해, 남자들은 머리 금방 마르고 편하겠다,0
4088, 응 짧으면 5분이면 머리 말라, 난 기분 15분 정도 걸려.,0
4089, 응 짧으면 5분이면 머리 말라, 아침엔 바빠서 머리 감기 힘들어,0
4090, 여자들은 여러모로 불편한 게 많아, 그러게 그렇다고 너무 짧으면 이상하고 길면 관리가 힘들어,0
4091, 미용목적으로 하는 성형 수술 넌 해봤어?, 나? 아니 성형수술은 안 해 봤어,0
4092, 쌍꺼풀 수술이랑 코 수술은 요즘에 누구나 하는 거 같아, 그래도 수술인데 다들 쉽게 생각하는 게 문제지,0
4093, 외모지상주의 만고불변의 진리지, 진짜 같은 사람도 외모가 되면 더 인정해주는 사회가 문제야,0
4094, 인정하기 싫지만 남자들도 그런 게 있어, 여자들도 서로 평가하고 뒤에서 말 많이 해,0
4095, 성형 수술 보다 내면의 크기를 키우는 사람이 되자, 맞아 정말 좋은 말이야,0
4096, 너 네일 숍 가봤어?, 언니랑 같이 몇 번 가봤어 왜?,0
4097, 그거 한 번 하는데 비용 얼마나 들어?, 기본은 2만원부터였어 패키지마다 가격이 달라,0
4098, 그냥 관리는 2만원 이면 되려나?," 응 기본 관리는 그정도 하지, 너 받으려고?",0
4099, 아니 어머님 보내드리려고, 아 효자가 여기 있었네,0
4100, 아니 어머님 보내드리려고, 그래 이왕이면 같이 받아봐,0
4101, 남자도 받는 사람 있어?, 응 요즘엔 남자도 많이 보여,0
4102, 미용실에서 머리 자르는데 가격이 비싸, 남자 컷트 비용이 얼마지?,0
4103, 요즘엔 거의 15000원 정도 하는 거 같아, 확실히 물가가 올라서 그런지 많이 올랐어,0
4104, 예전에 만원 넘는 곳이 많이 없었어, 여자도 파마랑 염색 하는데 기본 10만원 들어,0
4105," 와, 그냥 염색은 셀프로 해야겠네", 그래서 여자들 셀프로도 염색 많이 해,0
4106, 처음엔 어려워도 하다보면 색도 잘 나올 거야, 나도 이번에 셀프 염색 한거야,0
4107, 다이어트 하는데 어떻게 하는게 좋을까?, 먼저 식단부터 조절하면 좋을거 같아.,0
4108, 그렇구나. 운동은 안해도 되나?, 처음에는 무리하게 하지 않고 천천히 하면 좋아.,0
4109, 아하. 너는 모르는게 없구나., 고마워. 어려우면 나한테 얘기해.,0
