,Q,A
4697,1 : 맞아. 그래서 버스를 탈까하면 버스도 너무 막히더라고.,2 : 퇴근시간에는 차도 많이 막히니까 다 불편하다.
4698,1 : 너는 퇴근시간에 지하철이랑 버스 중에 뭐가 나아?,2 : 난 그나마 지하철이 나은 것 같아.
4699,1 : 그렇게 생각하는 이유가 있어?,2 : 아무래도 지하철은 차가 막히진 않으니까 금방 갈 수 있어서 더 낫다고 생각해.
4700,1 : 나 오토바이 타보고 싶어.,2 : 오토바이는 너무 위험한거 같아.
4701,1 : 왜 그렇게 생각해?,2 : 오토바이는 안전하지 않아.
4702,1 : 그렇구나 근데 보험이 저렴해서 좋아.,2 : 그래도 자동차가 제일 안전해.
4703,1 : 자동차 타면 어떤 차종이 좋을까?,2 : 처음에는 그래도 경차로 타는게 좋을거 같아.
4704,1 : 나는 차종 잘 모르니까 너가 도와줘.,2 : 알겠어. 나만 믿어.
4705,1 : 너는 어떤 교통수단을 선호해?,2 : 나는 버스가 좋아.
4706,1 : 그렇구나. 나도 버스가 제일 좋아.,2 : 너는 왜 버스가 좋니?
4707,1 : 지하철은 너무 불편해.,2 : 맞아. 나도 같은 이유야.
4708,1 : 버스는 좌석이 편해서 얼마든지 탈 수 있어.,2 : 요즘 고속 버스도 좌석이 엄청 좋더라.
4709,1 : 그래? 여행 갈 때 한번 타 봐야 겠다.,2 : 좋아. 너도 엄청 좋아할거야.
4710,1 : 전기차 타 봤어?,2 : 응. 한번 타 봤어.
4711,1 : 요즘 전기차가 너무 많아.,2 : 맞아. 예전에는 없었는데 요즘은 점점 많아진다.
4712,1 : 기름값이 비싸서 그런가봐.,2 : 그러겠다. 전기차는 기름값이 저렴해서 좋더라.
4713,1 : 그렇구나. 근데 전기차 안좋은 점은 없어?,2 : 전기차는 시동을 걸어도 소리가 안나서 위험해.
4714,1 : 아하. 길 가면서 조심해야겠다.,2 : 맞아. 이어폰 꼽고 걷다가 사고나.
4715,1 : 너는 집에서 서울 갈때 보통 어떤 교통수단을 이용해?,2 : 나는 버스를 이용하는 편이야.
4716,1 : 그렇구나. 나는 집이 서울이라서 버스는 잘 안타.,2 : 왜 버스를 잘 안타?
4717,1 : 서울은 지하철이 잘 되어 있어서 지하철 타고 다니는게 편해.,2 : 그렇구나. 지하철은 근데 좌석이 불편하잖아.
4718,1 : 맞아. 그것만 단점이고 그래도 빨라서 좋더라.,2 : 맞아. 지하철이 빨라서 좋아.
4719,1 : 너도 나중에 서울 살면 지하철을 많이 이용해봐.,2 : 그래야겠다. 지하철 꼭 타야겠다.
4720,1 : 차 보험비 얼마야?,2 : 100만원 정도 나와
4721,1 : 100만원? 원래 그렇게 비싸?,2 : 아니. 원래는 50만원 정도 나왔었지
4722,1 : 근데 왜 그렇게 갑자기 올랐어?,2 : 저번에 크게 한번 사고가 난 뒤로 많이 올랐어
4723,1 : 그랬구나. 많이 안다쳤어?,2 : 응. 다행히 크게 다치진 않았어
4724,1 : 정말 다행이다,2 : 그래도 보험 들어둔 덕분에 큰돈 안나갔어
4725,1 : 우리 저번에 여행 갔을 때 렌트했던 차가 전기차였지?,2 : 맞아. 전기차였어. 왜?
4726,1 : 요즘 전기차가 많이 보이는 거 같아서.,2 : 아하. 요즘 전기차가 트렌드긴 하지.
4727,1 : 전기차가 좋은 이유가 뭐야?,2 : 전기차가 환경에 더 도움이 된대.
4728,1 : 그렇구나. 근데 충전해야 되서 조금 불편할 거 같아.,2 : 그래도 요즘 충전소도 많이 있어.
4729,1 : 찾아보니까 그렇네. 처음 알았어.,2 : 관심없으면 그럴 수도 있지.
4730,1 : 찾아보니까 그렇네. 처음 알았어.,2 : 전기차 괜찮으니까 점점 관심 갖도록 해 봐.
4731,1 : 차에서 이상한 소리 나는데?,2 : 소리? 무슨 소리?
4732,1 : 뒤에서 삐걱거리는 소리나,2 : 정말? 어디 이상있나?
4733,1 : 점검받은지 얼마나 됐지?,2 : 벌써 2년도 넘었지
4734,1 : 오래됐네. 이번주에 점검 한번 받아보자,2 : 그러자. 별일 아니어야 할텐데.
4735,1 : 수리비 많이 나와?,2 : 어디가 고장났는지에 따라 다르지
4736,1 : 경차 어때?,2 : 경차? 갑자기 경차는 왜?
4737,1 : 아니. 우리 차 바꿀때 됐잖아,2 : 경차는 별로인거 같아
4738,1 : 왜? 장점도 많아,2 : 장점이 뭐가 있는데?
4739,1 : 연비도 좋고 주차할때 얼마나 편한데,2 : 그래도 별로야. 우린 애기가 있잖아
4740,1 : 하긴. 안전성은 좀 떨어지지,2 : 맞아. 뭐니뭐니 해도 안전이 최우선이야
4741,1 : 배 많이 타보셨어요?,2 : 많이 안 타봤어요.
4742,1 : 배 많이 타보셨어요?,2 : 여행 갈 때나 타보긴 했어요.
4743,1 : 저도 여행 갈 때 많이 타봤어요.,2 :  배 탈 때 멀미 안하세요?
4744,1 : 멀미는 잘 모르겠는데. 조금 울렁거리긴 해요.,2 :  나 항상 멀미약 멀고 타고 있어
4745,1 : 저는 배 탈 때 그 정도 까진 아닌 거 같아요.,2 : 출발 하기 전에 꼭 멀미약 드시고 출발 하는 것을 권장합니다.
4746,1 : 네 그렇게 해야 겠어요.,2 : 멀미 조심하셔야 해요.
4747,1 : 지하철 타는 어렵지 않아?,2 : 처음에는 노선을 몰라서 어려운데 나중에 그냥 타고 다녀
4748,1 : 서울이랑 경기는 지하철 타고 다 갈 수 있다고 들었어,2 : 버스보다 지하철이 노선이 잘 짜여서 좋아
4749,1 : 난 몇 번 안 타봐서 괜스레 무서워,2 : 무서울게 뭐 있어 그냥 타면 돼.
4750,1 : 난 몇 번 안 타봐서 괜스레 무서워,2 : 핸드폰 앱도 있어서 편해
4751,1 : 사람이 너무 많아서 코로나 걱정돼,2 : 그건 사실이야.
4752,1 : 사람이 너무 많아서 코로나 걱정돼,2 : 아침 출근 시간 지하철은 정말 지옥철 이야
4753,1 : 콩나물 마냐 빼곡하게 타야 하잖아,2 : 사회적 거리두기가 무의미 해져
4754,1 : 전기차 요즘 자주 보이는데 전기차 타 봤어?,2 : 아니 하이브리드는 타 봤는데 전기차는 안 타 봤어
4755,1 : 전기차 확실히 조용해서 좋긴 해,2 : 조용하고 환경 친화적이라 좋은데 충전이 난 걸려
4756,1 : 충전이 좀 오래 걸리지.,2 : 맞아 충전 시설도 많이 없고 아직은 시기상조라 생각해
4757,1 : 나중에 내연기관차를 생산 중단한데,2 : 그렇게 되면 나도 전기차로 넘어가야지
4758,"1 : 전기차, 수소차 나중에 더 상용화 되면 그때 생각해보자",2 : 그래 우린 좀 더 지켜보자
4759,1 : 자출사 라고 들어봤어?,2 : 자출사? 그게 뭐야?
4760,1 : 자출사 라고 들어봤어?,2 : 무슨 줄임말 같은데 몰라
4761,1 : 자전거로 출퇴근 하는 사람들의 줄임말이야,2 : 아 자전거 출퇴근 하는 사람을 자출사라고 부르는 구나
4762,1 : 응 나도 자출사 해 볼까?,2 : 너 집에서 회사까지 40분 거리잖아
4763,1 : 응 너무 먼 거리 인건가?,2 : 차로 40분이면 자전거 타면 음... 한 시간은 그냥 넘어가잖아
4764,1 : 퇴근해선 기절하겠는데.,"2 : 그냥 우리 차타고 출퇴근 하자, 너무 멀어"
4765,1 : 아침 출근하는 데 얼마나 걸려?,2 : 대략 30분 정도 걸려 넌?
4766,1 : 나 역시 그 정도 걸리는 거 같아,2 : 퇴근할 때는 차가 많아서 10분 정도 더 걸리는 거 같아
4767,1 : 난 퇴근 시간이 좀 늦어서 출근길이랑 비슷해,2 : 퇴근 시간 1시간만 빨라도 안 막힐 거야
4768,1 : 1시간 미리 퇴근할 수가 없잖아,2 : 그러니까 그게 문제지 하하
4769,1 : 그냥 서두르지 말고 안전운전해,2 : 그래야지 즐거운 퇴근길이잖아
4770,1 : 코로나 시국에 우리회사도 이제 재택근무 시작 했어,2 : 우리는 아직이야 재택근무 하니까 어때?
4771,1 : 우선 출퇴근 하지않아도 되는게 제일 좋아,2 : 그거 외에는 좋은 점 없어?
4772,1 : 왜 없겠어 우리 꼴보기 싫은 사람 얼굴 안보는게 최고로 좋지,2 : 하긴 니네 상사 정말 싫어했지 너
4773,1 : 말도 마. 누가 보면 내가 이상한 줄 알거야,2 : 언제까지 재택근무래?
4774,1 : 아직 정해진건 없는데 당분간은 계속될거 같아,2 : 부럽다 우리도 했으면 좋겠어
4775,1 : 우리 언니 얼마 전에 드디어 취업했어.,2 : 정말? 요즘 취업난인데 대단하시다.
4776,1 : 맞아. 언니도 고생 많이 했지.,2 : 언제부터 취업 준비하셨어?
4777,1 : 일년은 한 거 같아.,2 : 일년동안 많이 힘드셨겠다.
4778,1 : 원하는 곳에 취업했대.,2 : 정말 좋은 소식이다.
4779,1 : 원하는 곳에 취업했대.,2 : 축하드린다고 전해줘.
4780,1 : 응 알겠어. 우리도 잘 풀렸으면 좋겠다.,2 : 우리도 기운 받고 잘해내보자!
4781,1 : 이번에 미국에서 마이네임 반응이 좋더라,2 : 응 맞아 오겜 이후로 우리나라 거 인기 폭발!
4782,1 : 응 아무래도 넷플릭스 자금 사정이 오징어 게임 덕분에 나아져서,2 : 와 대박 우리나라에 더 준다고 한 거야?
4783,1 : 응 아마 디즈니도 한국에 들어오려고 노력 중인가 봐,2 : 아 맞아 usb 이런 거 세금 문제로 말 많더라고 ㅠㅠ
4784,1 : 아니 저작권 문제로 모두 들어오진 않은 거 같아,2 : 디즈니 나도 소식 들었는데 그거 들어오는 거 아니였어? ㅠㅠ 아숩...
4785,1 : 유플러스 통해서 들어온다고 하던데 잘 모르겠어,2 : 우리나라도 이렇게 쭉쭉 커 나갔으면 좋겠다 하하
4786,1 : 넷플릭스에 디즈니까지... 볼 거 풍년이다,2 : 맞아 이러다가 사람들 다 집콕 할 듯
4787,1 : 여행 좋아하세요?,2 : 여행 너무 좋아합니다
4788,1 : 여행 좋아하세요?,2 : 여행 좋아하시나요?
4789,1 : 추천해 주실만한 여행지가 있나요?,2 : 이번에 6월에 강원도 강릉에 갔다 왔는데 너무 괜찮았어요
4790,1 : 추천해 주실만한 여행지가 있나요?,2 : 강릉 추천합니다!
4791,1 : 오 강릉 어디 다녀오셨어요?,2 : 강릉에 경포대 쪽에 갔다 왔어요
4792,1 : 오 강릉 어디 다녀오셨어요?,2 : 경포대 가보신 적 있으신가요?
4793,1 : 요즘도 경포대에 사람들 많이 있나요?,2 : 제가 갔을 때는 그렇게 많지는 않았어요
4794,1 : 요즘도 경포대에 사람들 많이 있나요?,2 : 호텔은 사람이 많더라고요
4795,1 : 요즘도 경포대에 사람들 많이 있나요?,2 : 경포대 자체에는 사람이 그렇게 많지는 않았어요
4796,1 : 경포대에서 음식은 뭐 드셨어요?,2 : 경포대에서 횟집이랑 그 경포대에서 유명한 거 먹었는데 갑자기 기억이 안 나네요... 키키
4797,1 : 경포대에서 음식은 뭐 드셨어요?,2 : 맛있었어요
4798,1 : 경포대에서 음식은 뭐 드셨어요?,2 : 횟집 오랜만에 가서 그런지 맛있게 먹고 왔네요
4799,1 : 경포대에서 음식은 뭐 드셨어요?,2 : 이번에 여행 안 가시나요?
4800,1 : 전주에 가보신 적 있으세요?,2 : 네 전주에 친구들이랑 간 적이 있는데 친구들끼리 가서 그런지 그렇게 볼 곳은 많이 없었던 거 같긴해요
4801,1 : 전주에 가보신 적 있으세요?,2 : 가서 족구하고 그런 식으로 놀아서 키키
4802,1 : 전주에 유명한 막걸릿집이 있다고 하는데 혹시 가보셨나요?,2 : 아니요 가보지는 않았어요
4803,1 : 전주에 유명한 막걸릿집이 있다고 하는데 혹시 가보셨나요?,2 : 많이 유명한가요?
4804,1 : 기회가 된다면 이번에 다녀와서 후기 말씀드릴게요.,2 : 오 좋은 곳이네요
4805,1 : 기회가 된다면 이번에 다녀와서 후기 말씀드릴게요.,2 : 저도 여자친구랑 한 번 가봐야겠어요
4806,1 : 나 이번에 번개 장터로 내 꺼 팔았어,2 : 오 번개 장터 사람들 많이 이용해?
4807,1 : 응 그거 카페도 있어서 좋아,2 : 아 그거 블로그도 올라가? 카페는 뭐야?
4808,1 : 당근도 많이 쓰는데 이것도 많이 써,2 : 난 요즘 당근 많이 이용하게 되더라고 키키
4809,1 : 응 맞아 서로 정보가 연동되어 있어,2 : 오 나도 한번 설치해서 팔아야겠다 키키
4810,1 : 응 그래서 내가 안 올려도 돼서 편하지,2 : 중고나라 이런 카페에 글 올라가는 건가 키키
4811,1 : 응 그래서 내가 안 올려도 돼서 편하지,2 : 짱 신기
4812,1 : 맞아 키키 그래서 더 개이득,2 : 후 나도 집 정리하고 물건 내놔야겠다 ㅠㅠ
4813,1 : 요즘 홈쇼핑에서 금도 파네?,2 : 엥 이제 홈쇼핑에서 금도 팔아?
4814,1 : 가격도 엄청 비싸던데 보니까,2 : 홈쇼핑 사은품 많이 준다더니 금도 사은품 주려나 키키
4815,1 : 그래도 아직은 금은방에서 금 하잖아,2 : 맞아 홈쇼핑이면 금은방보다 저렴하게 나왔으려나?
4816,1 : 그래도 온전한 금은 아닌 거 같아,2 : 아 뭐야 온전한 금 아니면 왜 팔아 ㅠㅠ
4817,1 : 옆에서 엄마가 사려고 난리야 키키,2 : 그럼 금액 저렴하게 팔아야 되는 거 아니야?
4818,1 : 옆에서 엄마가 사려고 난리야 키키,2 : 안돼 엄마 말려
4819,"1 : 어, 일단 금은방 같이 가서 보고 홈쇼핑에서 사야지",2 : 응응 일단 가서 확인하고 비교해서 사 ㅠㅠ
4820,1 : 결혼을 하는 게 맞는 걸까?,2 : 음 그건 개인 자유 아닐까 키키
4821,1 : 내 친구 이번에 남편이랑 또 싸웠대,2 : 맞아
4822,1 : 내 친구 이번에 남편이랑 또 싸웠대,2 : 결혼한 애들 보면 부럽고 불쌍하고 키키
4823,1 : 맨날 싸우는거 보니까 좀ㅠㅠ,2 : 맞아 싸우는 거 보면 혼자가 좋아 키키
4824,1 : 그래도 내 편이 생기는 거잖아,2 : 맞아 우리끼리 다같이 살자 키키
4825,1 : 실버 타운은 안 가고 싶은데 키키,2 : 내 편 생기는 건 좋은데 키키
4826,1 : 실버타운은 늙어서 가는 곳이잖아,2 : 맞아 우리 다같이 한번에 가자 키키
4827,1 : 너희 신사와 아가씨 드라마 봐?,2 : 아니
4828,1 : 너희 신사와 아가씨 드라마 봐?,2 : 나 그거 몰라 키키
4829,1 : 너희 신사와 아가씨 드라마 봐?,2 : 새로 나왔어?
4830,1 : 주말 드라만데 부모님들 많이 보시더라고,2 : 아 엄마들 드라마면 막장일 거 같은데 키키
4831,1 : 키키 막장 막장 드라마는 아니야...,2 : 우리 엄마는 맨날 막장 드라마 봐 키키
4832,1 : 키키 아 이거는 막장까지는 아닌 거 같아,2 : 그럼 나도 엄마 보고 있으면 한번 옆에서 봐야겠다 키키
4833,1 : 너희도 부모님 보실 때 같이 봐봐,2 : 웅 신사와 아가씨 잘 기억 해 둘게 키키
4834,1 : 야 그래도 계속 보니까 재밌더라 키키,2 : 한번 보면 계속 보게 되더라고 키키
4835,1 : 불법 주차는 절대 하면 안 되는 거 같아.,"2 : 맞아, 많은 피해를 줘."
4836,"1 : 응, 아직 하는 사람 너무 많아.",2 : 등굣길에 불법 주차 때문에 차가 너무 막혀.
4837,"1 : 맞아, 불편한 점이 너무 많아.",2 : 불법 주차 아예 없어져야 해.
4838,1 : 처벌을 강화했으면 좋겠어.,2 : CCTV 설치를 더 많이 하면 좋겠어.
4839,1 : 넷플릭스 이런 것도 그런데 책 구독하는 어플도 있더라.,2 : 와 정말?
4840,1 : 넷플릭스 이런 것도 그런데 책 구독하는 어플도 있더라.,2 : 책 구독 어플은 어떤 식으로 운영이 되는 거지?
4841,1 : 책 종류는 일반 서점에서 파는 종이책 종류랑 거의 동일해. 베스트셀러든 뭐든!,2 : 오 대박이다!
4842,1 : 책 종류는 일반 서점에서 파는 종이책 종류랑 거의 동일해. 베스트셀러든 뭐든!,2 : 전자책 생긴 것도 신기했었는데 이제는 구독하는 개념으로 온라인 도서관이 생긴 느낌이네 키키
4843,1 : 아! 나 몇 달 전에 꽃 구독 서비스 이용했었다 참,2 : 우와 커피 구독은 너무 신기한데! 키키
4844,1 : 아! 나 몇 달 전에 꽃 구독 서비스 이용했었다 참,2 : 꽃 구독도 있어?
4845,1 : 아! 나 몇 달 전에 꽃 구독 서비스 이용했었다 참,2 : 와 진짜 신세계야.
4846,1 : 아! 나 몇 달 전에 꽃 구독 서비스 이용했었다 참,2 : 나만 다른 세상에 살고 있는 느낌이야.
4847,1 : 그 꽃만 봐도 기분 좋고 배송 오는 날이 기다려지더라고!,2 : 와 그거 근데 되게 괜찮은 거 같아!
4848,1 : 그 꽃만 봐도 기분 좋고 배송 오는 날이 기다려지더라고!,2 : 기분 전환도 되고 집도 화사해지고 선물 받는 기분도 나고 하하
4849,1 : 심지어 영양제 구독도 가능하다네. 신문명...,2 : 와 영양제 구독...
4850,1 : 심지어 영양제 구독도 가능하다네. 신문명...,2 : 진짜 갈수록 정말 다양해지는 세상에 살고 있는 거 같아. 키키
4851,1 : 심지어 영양제 구독도 가능하다네. 신문명...,2 : 저번에 유튜브에서 어떤 사람이 이불 서비스 받는 것도 되게 신기했었거든!
4852,1 : 심지어 영양제 구독도 가능하다네. 신문명...,2 : 주기적으로 이불을 가져다주고 가져가서 빨아주고 이러는 것도 있더라구!
4853,1 : 한번 이용해봐야지 키키,2 : 응응 나도 처음 알게 됐는데 되게 편해 보이더라!
4854,1 : 한번 이용해봐야지 키키,2 : 내 이불은 아니지만 깨끗하게 빨아서 주기 때문에 호텔 이불 느낌이 난다고 키키
4855,1 : 냉장고 티비 이런 거!,2 : 오! 점점 영역을 넓혀가는 건가 키키
4856,1 : 냉장고 티비 이런 거!,2 : 마켓컬리하면 식료품 생각만 났었는데 말이지!
4857,1 : 이제 못 사는 게 없겠구나 싶고.,2 : 진짜 그렇겠어 키키
4858,1 : 이제 못 사는 게 없겠구나 싶고.,2 : 이젠 정말 손쉽게 뭐든지 구매할 수 있는 세상이 온 거 같아.
4859,1 : 오늘 자격증 시험 보고 왔어.,2 : 어떤 자격증 시험이었어?
4860,1 : 건축 관련된 자격증이었어.,2 : 시험은 잘봤어?
4861,1 : 너무 어렵더라.,2 : 그렇구나. 공부 많이 했을텐데 속상했겠다.
4862,1 : 괜찮아. 다음에도 볼 수 있으니까.,2 : 나도 건축 관련 자격증 따야하는데 너랑 같이 공부해야겠다.
4863,1 : 그래. 다음 시험까지 열심히 공부해보자.,2 : 그래. 둘 다 합격하면 좋겠다.
4864,1 : 내일 광화문 갈 일이 있는데 지하철 타고 가는 게 낫겠지?,2 : 그래? 퇴근하고 가는 거야?
4865,1 : 내일 광화문 갈 일이 있는데 지하철 타고 가는 게 낫겠지?,2 : 그러면 아무래도 지하철이 좋을 거 같은데!
4866,1 : 버스 타는 건 오버겠지?,2 : 아 반차 내고 가는 거면 점심 시간 좀 지나고겠네!
4867,1 : 버스 타는 건 오버겠지?,2 : 버스는 몇 분 걸린다고 나와?
4868,1 : 버스 타는 건 오버겠지?,2 : 버스는 좀 돌아가긴 해서 빠르게 가려면 지하철이 좋긴 할 텐데...
4869,1: 거리상으로는 별로 안 멀 텐데..,2 : 맞아 ㅠㅠ
4870,1: 거리상으로는 별로 안 멀 텐데..,2 : 버스는 그래서 시간적 여유가 있으면 타는 것도 괜찮은데 그게 아니면 난감할 때도 많아서 신중하게 생각하고 타게 되더라.
4871,1 : 맞아! 어렸을 때는 막 버스 타고 돌아다니는 거 좋아해서 시간도 많고 그냥 갈 곳 없는데 버스 타고 돌아다닌 적도 있다 ㅠㅠ,2 : 와 나도 버스 타고 돌아다니는 거 진짜 해보고 싶었어!
4872,1 : 맞아! 어렸을 때는 막 버스 타고 돌아다니는 거 좋아해서 시간도 많고 그냥 갈 곳 없는데 버스 타고 돌아다닌 적도 있다 ㅠㅠ,2 : 한 번도 해본 적 없는데 너 해봤구나! 키키
4873,1 : 맞아! 어렸을 때는 막 버스 타고 돌아다니는 거 좋아해서 시간도 많고 그냥 갈 곳 없는데 버스 타고 돌아다닌 적도 있다 ㅠㅠ,2 : 추천할 만해?
4874,1 : 그렇게 멀리는 안 갔었지!,2 : 키키 근데 그때만의 또 느낌이랑 감성이 있어서 너무 괜찮은 시도였던 거 같은데?
4875,1 : 그렇게 멀리는 안 갔었지!,2 : 뭔가 기분 전환도 될 거 같고!
4876,1 : 맞아! 하하 생각해보니 지금도 매일 버스랑 지하철로 출퇴근하는데 그때 느낌이랑은 아주 아주 다르지.,2 : 그치. 키키 이젠 뭔가 현실에 가까운 느낌이고 그때는 약간의 일탈 느낌이라...
4877,1 : 맞아! 하하 생각해보니 지금도 매일 버스랑 지하철로 출퇴근하는데 그때 느낌이랑은 아주 아주 다르지.,2: 나중에 시간 되면 버스나 지하철로도 한 번 해보고 싶다!
4878,1 : 거기 근처에 중앙선 역이 하나 있는데 지하철 타고 가니까 되게 좋더라!,2: 오! 처음 들어봐!
4879,1 : 거기 근처에 중앙선 역이 하나 있는데 지하철 타고 가니까 되게 좋더라!,2 : 나중에 한번 가봐야겠다 키키
4880,1 : 거기 근처에 중앙선 역이 하나 있는데 지하철 타고 가니까 되게 좋더라!,2 : 한강에 공원이라니 생각만 해도 힐링이야.
4881,1 : 차로 가도 되긴 하고 하하,2 : 응응 그래야겠다!
4882,1 : 차로 가도 되긴 하고 하하,2 : 날 선선해지면 다녀와야지! 하하
4883,1 : 부동산 이런 데 관심 많아?,2 : 나는 아직 독립을 안 해서 그런지 크게 관심은 없는데 이제 슬슬 관심 가져야 할 거 같긴 해 ㅠㅠ
4884,1 : 집값 미쳤다고 매일 뉴스 나오기도 하고 ㅠ,2 : 그치! 아무래도 독립을 하고 나면 집 구할 때는 필수적인 요소다 보니까 잘 알아보고 공부도 해두고 해야 할 거 같아.
4885,1 : 근데 요즘 아파트 값이 너무 비싸서 다시 아파트 살 수 있을까 싶어.,2 : 맞아 나도 잘은 모르지만 요즘 아파트 값이 말도 안 되게 올랐다는 거는 너무 잘 알고 있거든.
4886,1 : 근데 요즘 아파트 값이 너무 비싸서 다시 아파트 살 수 있을까 싶어.,2 : 집 구하기가 이렇게 어려우면 앞으로 어떡하라는 건지... ㅠㅠ
4887,1 : 나만 해도 그렇긴 하거든 키키,2 : 맞아 맞아.
4888,1 : 나만 해도 그렇긴 하거든 키키,2 : 근데 요즘 같이 이런 때는 젊은 세대나 신혼부부들은 아파트 내 집 마련이나 전세는 꿈도 못 꾸겠어.
4889,1 : 맞아. 부모님 세대 때만 해도 월급 몇 달 치 모으면 집 하나 살 수 있었다고 하던데 요즘은 10년 20년 모아도 겨우 살까 말까 하니까 ㅠㅠ,2 : 그렇게 말이야.
4890,1 : 맞아. 부모님 세대 때만 해도 월급 몇 달 치 모으면 집 하나 살 수 있었다고 하던데 요즘은 10년 20년 모아도 겨우 살까 말까 하니까 ㅠㅠ,2 : 요즘은 그런 게 꿈 속 이야기가 돼 버린 느낌이야 ㅠㅠ
4891,1 : 맞아. 부모님 세대 때만 해도 월급 몇 달 치 모으면 집 하나 살 수 있었다고 하던데 요즘은 10년 20년 모아도 겨우 살까 말까 하니까 ㅠㅠ,2 : 열심히 모으면 그래도 살 수 있을 거라는 희망이라도 있어야 하는데 이제는 그런 것조차 생각할 수 없을 거 같은 느낌?
4892,1 : 단독 주택 생활 로망이 있어!,2 : 나도! 진짜 아마 다들 주택에 대한 로망이 있지 않을까 싶어 하하
4893,1 : 단독 주택 생활 로망이 있어!,2 : 너무 크지 않아도 아늑한 공간이면 얼마나 좋을까!
4894,1 : 요즘 그렇게도 많이 짓는 거 같더라.,2: 키키 그치! 주택은 청소나 정원 관리가 진짜 힘들어서 사실 너무 큰 곳도 그렇게 좋지만은 않은 것 같아...
4895,1 : 요즘 그렇게도 많이 짓는 거 같더라.,2 : 20평대 주택도 많이 짓는구나!
4896,1 : 요즘 그렇게도 많이 짓는 거 같더라.,2 : 어떤 느낌인지 궁금해!
4897,1 : 생각보다 자기 생활이랑 안 맞을 수도 있으니까...,2 : 오 그거 되게 좋은 방법이다!
4898,1 : 생각보다 자기 생활이랑 안 맞을 수도 있으니까...,2 : 아무리 살고 싶었어도 안 맞을 수 있으니까 시도해 보고 결정하는 게 좋은 거 같아 하하
4899,1 : 나도 체감해 보니 그런 거 같아 ㅠ,2 : 정말 그래.
4900,1 : 나도 체감해 보니 그런 거 같아 ㅠ,2 : 요즘엔 아르바이트 구하기도 힘들다던데 취업도 더 심각해진 거 같아.
4901,1 : 아직 취준 하고 있는 친구들 있어?,2 : 응응! 내 주변 친구들은 아직 준비 중인 친구들이 더 많이 있어서 정말 더 체감하고 있는 중이야. ㅠㅠ
4902,1 : 그래서 나도 취준일 때 좀 약간 주눅 드는 느낌도 있긴 했었어,2 : 그렇구나!
4903,1 : 그래서 나도 취준일 때 좀 약간 주눅 드는 느낌도 있긴 했었어,2 : 확실히 주변 친구가 빨리 취업하면 좀 조급해지고 위축되는 거 같아.
4904,1 : 그래서 나도 취준일 때 좀 약간 주눅 드는 느낌도 있긴 했었어,2 : 나도 그랬었거든 ㅠㅠ
4905,1 : 그래서 계속 스펙 쌓는 것도 틈틈이 신경 써야 할 것 같아!,2 : 맞아 그런 분위기더라!
4906,1 : 그래서 계속 스펙 쌓는 것도 틈틈이 신경 써야 할 것 같아!,2 : 나는 안정적인 걸 좋아해서 한 곳에 오래있고 싶었는데 그게 또 내 마음대로 되는 것도 아니니까 잘 계획하고 알아보면서 해야 할 것 같아.
4907,1 : 그래서 계속 스펙 쌓는 것도 틈틈이 신경 써야 할 것 같아!,2 : 정말 쉽지 않네 ㅠㅠ
4908,1 : 맞아. 대기업 같은 데는 복지도 좋겠지만 그 외 다른 곳들은 복지나 아니면 자기가 생각하는 연봉이나 그 회사,2 : 그치 내가 생각했던 것이랑 다른 부분도 있을 거고 그러다 보면 다른 곳으로 옮기게 되고 그런 것 같아.
4909,1 : 맞아. 대기업 같은 데는 복지도 좋겠지만 그 외 다른 곳들은 복지나 아니면 자기가 생각하는 연봉이나 그 회사,2 : 그래서 다들 잘 맞는 곳 찾으려고 여러 군데 옮기시는 것 같기도 해!
4910,1 : 출근하고 싶대.,2 : 와 정말?
4911,1 : 출근하고 싶대.,2: 그런 분들도 있구나 키키
4912,1 : 출근하고 싶대.,2 : 밖에서 일하는 분위기 속에서 일하고 싶으신 분들은 재택 근무하기 좀 힘들 거 같긴 하다.
4913,1 : 응 몇 달 동안 재택 근무만 하면 회사 동료들이랑 얘기하고 같이 어울리면서 일하는 게 그립긴 할 거 같아 ㅠ,2 : 맞아 집이 편하고 시간도 아낄 수 있지만 능률이 떨어지거나 사람들이랑 이야기하면서 여러 문제들도 풀어 나가고 하는 것들은 조금 어려워질 거 같아!
4914,1 : 응 몇 달 동안 재택 근무만 하면 회사 동료들이랑 얘기하고 같이 어울리면서 일하는 게 그립긴 할 거 같아 ㅠ,2 : 근데 요즘에는 상황이 이러니까 뽑는 인원도 적어지고 정규직 채용도 많이 안 하는 것 같아서 걱정이야.
4915,1 : 대부분 계약직으로 끝날 테니 ㅠㅠ,2 : 아 맞아!
4916,1 : 대부분 계약직으로 끝날 테니 ㅠㅠ,2 : 청년들이 일할 수 있는 발판을 마련해 주는 것 같아서 좋았는데 그게 아무래도 정규직까지 간다는 건 좀 한계가 있지 않을까 싶어... ㅠㅠ
4917,1 : 지인 중에 혹시 직업 군인 있어?,2 : 아 응!
4918,1 : 지인 중에 혹시 직업 군인 있어?,2 : 나 아는 오빠가 ROTC야!
4919,1 : ROTC면 학군단? 그거인가?,2 : 응 나도 자세히는 모르지만 학군단으로 학교도 같이 다니다가 나중에는 직업으로 삼고 그러더라구!
4920,1 : 그 군복이라고 해야 하나? 그것도 갖춰 입고 다니더라!,2 : 응 맞아!
